File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\BaseTool_Expandable.g.cs,112,76,42,2,21,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\BaseTool_Expandable.g.i.cs,112,76,42,2,21,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\BaseTool_Toggle.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\BaseTool_Toggle.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\Calculator.g.cs,244,175,74,2,54,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\Calculator.g.i.cs,244,175,74,2,54,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ClipboardDataObjectDisplay.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ClipboardDataObjectDisplay.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\EnabledSymbolButton.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\EnabledSymbolButton.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\EyeDropOverlay.g.cs,92,61,35,2,16,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\EyeDropOverlay.g.i.cs,92,61,35,2,16,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\FiveStateImageButton.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\FloatingSelectionBox.g.cs,405,279,104,2,111,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\FloatingSelectionBox.g.i.cs,405,279,104,2,111,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\FloatingToolbar.g.cs,124,87,43,5,22,0,15,42,0,0
